0,104
1,76
2,103
3,86
4,96
5,99
6,96
7,111
8,87
9,109
10,88
11,101
12,85
13,109
14,117
15,99
16,91
17,79
18,95
19,99
20,108
21,84
22,104
23,95
24,99
25,86
26,81
27,107
28,100
29,83
30,88
31,103
32,110
33,106
34,95
35,100
36,87
37,87
38,87
39,92
40,97
41,110
42,94
43,108
44,103
45,112
46,98
47,87
48,80
49,103
50,87
51,84
52,88
53,104
54,98
55,100
56,101
57,100
58,95
59,81
60,89
61,92
62,68
63,85
64,83
65,99
66,99
67,93
68,112
69,102
70,101
71,87
72,106
73,100
74,94
75,104
76,112
77,101
78,94
79,100
80,88
81,105
82,94
83,96
84,90
85,92
86,106
87,91
88,83
89,85
90,105
91,87
92,95
93,108
94,109
95,98
96,105
97,91
98,109
99,101
100,92
101,99
102,101
103,87
104,103
105,104
106,115
107,109
108,109
109,90
110,100
111,89
112,92
113,95
114,73
115,81
116,92
117,105
118,96
119,91
120,105
121,79
122,103
123,98
124,89
125,99
126,93
127,108
128,100
129,112
130,118
131,95
132,99
133,93
134,94
135,113
136,92
137,96
138,98
139,93
140,87
141,104
142,97
143,108
144,95
145,93
146,100
147,97
148,104
149,105
150,94
151,87
152,118
153,103
154,100
155,98
156,100
157,88
158,104
159,86
160,107
161,91
162,99
163,89
164,109
165,87
166,76
167,100
168,109
169,105
170,114
171,104
172,103
173,100
174,98
175,90
176,97
177,99
178,108
179,107
180,84
181,90
182,99
183,102
184,99
185,83
186,92
187,102
188,80
189,105
190,106
191,78
192,97
193,95
194,110
195,94
196,108
197,115
198,96
199,87
200,88
201,103
202,101
203,86
204,109
205,103
206,99
207,115
208,107
209,93
210,88
211,96
212,99
213,84
214,114
215,94
216,110
217,106
218,94
219,100
220,114
221,105
222,95
223,93
224,121
225,90
226,100
227,83
228,96
229,115
230,120
231,103
232,108
233,120
234,99
235,93
236,94
237,90
238,101
239,92
240,104
241,110
242,94
243,95
244,88
245,102
246,98
247,100
248,87
249,96
250,100
251,91
252,102
253,95
254,95
255,101
256,95
257,116
258,110
259,105
260,114
261,119
262,87
263,110
264,105
265,99
266,96
267,103
268,94
269,92
270,100
271,85
272,84
273,109
274,99
275,101
276,104
277,107
278,89
279,98
280,102
281,78
282,105
283,89
284,102
285,91
286,113
287,96
288,109
289,96
290,99
291,109
292,108
293,99
294,96
295,111
296,97
297,105
298,99
299,112
300,94
301,98
302,82
303,98
304,120
305,121
306,104
307,100
308,118
309,99
310,92
311,101
312,110
313,110
314,101
315,99
316,87
317,88
318,107
319,106
320,87
321,90
322,96
323,84
324,119
325,94
326,92
327,112
328,114
329,94
330,102
331,113
332,93
333,99
334,91
335,108
336,87
337,81
338,108
339,97
340,108
341,111
342,86
343,115
344,86
345,103
346,92
347,110
348,93
349,90
350,105
351,90
352,93
353,113
354,91
355,108
356,81
357,85
358,90
359,95
360,97
361,99
362,112
363,110
364,86
365,84
366,92
367,98
368,106
369,117
370,113
371,97
372,125
373,101
374,91
375,104
376,98
377,92
378,96
379,104
380,111
381,108
382,105
383,96
384,112
385,102
386,98
387,86
388,96
389,100
390,101
391,93
392,108
393,106
394,99
395,99
396,116
397,96
398,103
399,109
400,98
401,87
402,90
403,91
404,86
405,86
406,91
407,103
408,103
409,95
410,98
411,105
412,105
413,105
414,82
415,92
416,107
417,115
418,90
419,107
420,123
421,89
422,90
423,102
424,94
425,102
426,95
427,100
428,96
429,114
430,104
431,78
432,110
433,93
434,102
435,89
436,90
437,113
438,98
439,100
440,106
441,93
442,99
443,100
444,106
445,110
446,99
447,93
448,116
449,84
450,97
451,101
452,93
453,102
454,106
455,116
456,93
457,86
458,99
459,99
460,96
461,109
462,119
463,110
464,108
465,88
466,96
467,91
468,98
469,101
470,105
471,106
472,97
473,87
474,97
475,88
476,97
477,94
478,112
479,84
480,96
481,107
482,83
483,111
484,90
485,112
486,89
487,106
488,99
489,93
490,93
491,104
492,113
493,88
494,127
495,93
496,98
497,87
498,94
499,103
500,98
501,94
502,101
503,88
504,125
505,103
506,104
507,115
508,96
509,102
510,98
511,97
512,96
513,104
514,118
515,92
516,98
517,105
518,117
519,106
520,101
521,96
522,91
523,94
524,99
525,99
526,121
527,99
528,97
529,102
530,102
531,83
532,93
533,82
534,101
535,112
536,118
537,124
538,109
539,102
540,105
541,94
542,83
543,102
544,107
545,88
546,94
547,97
548,88
549,90
550,103
551,98
552,113
553,105
554,118
555,105
556,115
557,119
558,82
559,95
560,92
561,84
562,94
